rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt
2,2,0,OLD,20179985,코코,2018-01-11,611171147,16.8,132467747,27.7,16971284880,76136,10152,15.4,2149020,812,2315
3,3,0,OLD,20175054,메이즈 러너: 데스 큐어,2018-01-17,612329524,16.9,128983924,26.7,13746259587,71141,9276,15,1663645,729,2815
4,4,0,OLD,20150976,신과함께-죄와 벌,2017-12-20,354185700,9.8,79888800,29.1,110459123737,42076,5176,14,13760091,590,1577
5,5,0,OLD,20170590,1987,2017-12-27,313169100,8.6,63222700,25.3,55340565245,36987,3723,11.2,6876115,578,1733
6,6,0,OLD,20178230,커뮤터,2018-01-24,283711829,7.8,34886129,14,831434429,33446,504,1.5,106064,548,2157
7,7,0,OLD,20168161,1급기밀,2018-01-24,192769600,5.3,28011100,17,611942400,22959,1048,4.8,78168,474,1417
8,8,0,OLD,20177473,비밥바룰라,2018-01-24,35665100,1.0,-2979200,-7.7,156167500,5399,-688,-11.3,22384,325,560
9,9,1,OLD,20179462,위대한 쇼맨,2017-12-20,40341100,1.1,11290500,38.9,10691581900,4590,868,23.3,1304620,111,163
10,10,-1,OLD,20178444,극장판 레이디버그: 미라클스톤의 비밀,2018-01-25,19419200,0.5,-6330300,-24.6,58055700,2578,-1223,-32.2,7879,270,307
1,1,0,OLD,20176104,그것만이 내 세상,2018-01-17,2368280238,29.0,1376131114,138.7,13866505652,279702,162656,139,1701830,951,3844
2,2,0,OLD,20179985,코코,2018-01-11,1692379536,20.8,1081208389,176.9,18663664416,207860,131724,173,2356880,1025,3032
3,3,0,OLD,20175054,메이즈 러너: 데스 큐어,2018-01-17,1319709738,16.2,707380214,115.5,15065969325,153963,82822,116.4,1817608,771,2880
4,4,0,OLD,20150976,신과함께-죄와 벌,2017-12-20,797295300,9.8,443109600,125.1,111256419037,94386,52310,124.3,13854477,698,1820
5,5,0,OLD,20170590,1987,2017-12-27,656925300,8.1,343756200,109.8,55997490545,77436,40449,109.4,6953551,604,1666
6,6,0,OLD,20178230,커뮤터,2018-01-24,526717526,6.5,243005697,85.7,1358151955,62288,28842,86.2,168352,575,1763
7,7,0,OLD,20168161,1급기밀,2018-01-24,379919500,4.7,187149900,97.1,991861900,45379,22420,97.7,123547,511,1267
8,8,2,OLD,20178444,극장판 레이디버그: 미라클스톤의 비밀,2018-01-25,66615400,0.8,47196200,243,124671100,8720,6142,238.2,16599,296,383
9,9,0,OLD,20179462,위대한 쇼맨,2017-12-20,66695200,0.8,26354100,65.3,10758277100,7589,2999,65.3,1312209,103,166
10,10,-2,OLD,20177473,비밥바룰라,2018-01-24,45797300,0.6,10132200,28.4,201964800,5986,587,10.9,28370,310,475
1,1,0,OLD,20176104,그것만이 내 세상,2018-01-17,2334250100,30.2,-34030138,-1.4,16200755752,275942,-3760,-1.3,1977772,956,3803
2,2,0,OLD,20179985,코코,2018-01-11,1622452000,21.0,-69927536,-4.1,20286116416,199350,-8510,-4.1,2556230,1021,3007
3,3,0,OLD,20175054,메이즈 러너: 데스 큐어,2018-01-17,1162594400,15.1,-157115338,-11.9,16228563725,136107,-17856,-11.6,1953715,756,2769
4,4,0,OLD,20150976,신과함께-죄와 벌,2017-12-20,791361400,10.2,-5933900,-0.7,112047780437,93732,-654,-0.7,13948209,704,1810
5,5,0,OLD,20170590,1987,2017-12-27,610028100,7.9,-46897200,-7.1,56607518645,72382,-5054,-6.5,7025933,610,1615
6,6,0,OLD,20178230,커뮤터,2018-01-24,461268800,6.0,-65448726,-12.4,1819420755,54826,-7462,-12,223178,559,1637
7,7,0,OLD,20168161,1급기밀,2018-01-24,341463600,4.4,-38455900,-10.1,1333325500,40833,-4546,-10,164380,512,1219
8,8,0,OLD,20178444,극장판 레이디버그: 미라클스톤의 비밀,2018-01-25,73010100,0.9,6394700,9.6,197681200,9534,814,9.3,26133,305,392
9,9,0,OLD,20179462,위대한 쇼맨,2017-12-20,62031500,0.8,-4663700,-7,10820308600,7070,-519,-6.8,1319279,101,172
10,10,0,OLD,20177473,비밥바룰라,2018-01-24,43196100,0.6,-2601200,-5.7,245160900,6100,114,1.9,34470,302,459
1,1,0,OLD,20176104,그것만이 내 세상,2018-01-17,718201600,29.5,-1616048500,-69.2,16918957352,94151,-181791,-65.9,2071923,866,3574
2,2,0,OLD,20179985,코코,2018-01-11,406936600,16.7,-1215515400,-74.9,20693053016,54634,-144716,-72.6,2610864,796,2467
3,3,0,OLD,20175054,메이즈 러너: 데스 큐어,2018-01-17,351186900,14.4,-811407500,-69.8,16579750625,45377,-90730,-66.7,1999092,695,2612
4,4,0,OLD,20150976,신과함께-죄와 벌,2017-12-20,257512500,10.6,-533848900,-67.5,112305292937,34521,-59211,-63.2,13982730,616,1705
5,5,0,OLD,20170590,1987,2017-12-27,201175800,8.3,-408852300,-67,56808694445,26748,-45634,-63,7052681,577,1621
6,6,0,OLD,20178230,커뮤터,2018-01-24,146160100,6.0,-315108700,-68.3,1965580855,19287,-35539,-64.8,242465,521,1693
7,7,0,OLD,20168161,1급기밀,2018-01-24,119574100,4.9,-221889500,-65,1452899600,15994,-24839,-60.8,180374,479,1275
8,8,0,NEW,20179205,조선명탐정: 흡혈괴마의 비밀,2018-02-08,38781000,1.6,38781000,100,38781000,4906,4906,100,4906,20,20
9,9,0,OLD,20179462,위대한 쇼맨,2017-12-20,31852800,1.3,-30178700,-48.7,10852161400,4118,-2952,-41.8,1323397,113,184
10,10,0,OLD,20177473,비밥바룰라,2018-01-24,22214800,0.9,-20981300,-48.6,267375700,3800,-2300,-37.7,38270,291,468
1,1,0,OLD,20176104,그것만이 내 세상,2018-01-17,688320800,28.9,-29880800,-4.2,17607278152,91515,-2636,-2.8,2163438,884,3574
2,2,0,OLD,20179985,코코,2018-01-11,402263300,16.9,-4673300,-1.1,21095316316,55160,526,1,2666024,814,2475
3,3,0,OLD,20175054,메이즈 러너: 데스 큐어,2018-01-17,316549400,13.3,-34637500,-9.9,16896300025,41173,-4204,-9.3,2040265,693,2583
4,4,0,OLD,20150976,신과함께-죄와 벌,2017-12-20,250745800,10.5,-6766700,-2.6,112556038737,34197,-324,-0.9,14016927,626,1712
5,5,0,OLD,20170590,1987,2017-12-27,191703800,8.0,-9472000,-4.7,57000398245,25848,-900,-3.4,7078529,586,1611
6,6,0,OLD,20178230,커뮤터,2018-01-24,125089000,5.2,-21071100,-14.4,2090669855,16663,-2624,-13.6,259128,521,1633
7,7,0,OLD,20168161,1급기밀,2018-01-24,113258300,4.7,-6315800,-5.3,1566157900,15394,-600,-3.8,195768,482,1262
8,8,0,OLD,20179205,조선명탐정: 흡혈괴마의 비밀,2018-02-08,74910000,3.1,36129000,93.2,113691000,11673,6767,137.9,16579,72,72
9,9,0,OLD,20179462,위대한 쇼맨,2017-12-20,32930500,1.4,1077700,3.4,10885091900,4286,168,4.1,1327683,110,188
10,10,0,OLD,20177473,비밥바룰라,2018-01-24,19212500,0.8,-3002300,-13.5,286588200,2936,-864,-22.7,41206,304,470
1,1,18,OLD,20168323,염력,2018-01-31,1617241600,37.4,1609361600,20423.4,1677541600,264711,263726,26774.2,273292,1099,6347
